詞目id,漢字,羅馬字
299,久仰,kiú-ióng
723,公寓,kong-ú
2194,危急,uî-kip
2228,印象,ìn-sióng
2249,危機,uî-ki
2253,危險,uî-hiám
2549,早頓,tsái-tǹg
2932,作弊,tsoh-piah
3032,坎坎坷坷,kham-kham-khia̍t-khia̍t
3320,沙漠,sua-bôo
3552,佩服,phuè-ho̍k
4129,抱歉,phō-khiam
4712,信仰,sìn-ióng
4847,姻緣,im-iân
4957,恢復,hue-ho̍k
4959,後嗣,hiō-sû
5019,是非,sū-hui
5560,軍艦,kun-kàm
6180,浸柿,tsìng-khī
6459,粉腸,hún-tshiân
6779,逃避,tô-phiah
6892,閃避,siám-phiah
7168,寂寞,siok-bo̍k
7418,採購,tshái-káng
7422,接觸,tsiap-sio̍k
8282,圍軀裙,û-su-kûn
8390,掌握,tsióng-ap
8533,植物,ti̍t-bu̍t
8533,植物,tsi̍t-bu̍t
9319,傳後嗣,thn̂g-hiō-sû
9384,塗墼,thôo-kak
9385,塗墼厝,thôo-kak-tshù
9558,新鮮,sin-sián
9596,會計,huē-kè
9711,煙腸,ian-tshiân
10144,遇,bū
10465,寢室,khím-sik
10480,對象,tuì-siòng
10663,碩士,sik-sū
11078,慰勞,uì-lô
11471,賠償,puê-sióng/pê-sióng
11718,機械,ki-hâi
12158,戲弄,hí-lāng
12410,避,phiah
12423,避免,phiah-bián
12819,簿仔,pho̍k-á
13162,露營,lo̍k-iânn
14076,卸世卸眾,sià-sí-sià-tsìng
22848,整個,tsíng-kô
23520,補償,póo-sióng
23821,戰艦,tsiàn-kàm
24331,敬佩,kìng-phuè
24392,艦隊,kàm-tuī
25940,避難,phiah-lān
26367,迴避,huê-phiah
